Date : 2022-06-07 11:35:09
Directory : /Users/zhangyiyao/Desktop/firstapp
Total : 124 files,  43923 codes, 539 comments, 472 blanks, all 44934 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/qq.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/search.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/shopping.svg                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/size.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/skill.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/star.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/tab.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/table.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/theme.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/tree-table.svg                 | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/tree.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/user.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/wechat.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/assets/icons/svg/zip.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/CumulativeReturn1.vue                    | Vue.js     |        343 |         16 |          4 |        363 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/CumulativeReturn2.vue                    | Vue.js     |        387 |         16 |          2 |        405 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/GroupReturn.vue                          | Vue.js     |        279 |         16 |          4 |        299 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/KChart.vue                               | Vue.js     |        317 |          1 |          3 |        321 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/MonthlyIC.vue                            | Vue.js     |        122 |          0 |          4 |        126 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/PredAutocorr.vue                         | Vue.js     |        200 |         16 |          8 |        224 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/PredictChart.vue                         | Vue.js     |        207 |         17 |          3 |        227 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/RiskAnalysis.vue                         | Vue.js     |         98 |         29 |          2 |        129 |
| /Users/zhangyiyao/Desktop/firstapp/src/charts/ScoreIC.vue                              | Vue.js     |        213 |         16 |          3 |        232 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/Car.vue                              | Vue.js     |         53 |         22 |          8 |         83 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/ForgetPassword.vue                   | Vue.js     |        282 |          9 |          6 |        297 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/Login.vue                            | Vue.js     |        231 |          7 |          7 |        245 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/Register.vue                         | Vue.js     |        290 |          5 |          8 |        303 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/Research.vue                         | Vue.js     |         92 |          0 |          6 |         98 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/SvgIcon/index.vue                    | Vue.js     |         41 |          0 |          3 |         44 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/dashboard/PanelGroup.vue             | Vue.js     |        225 |          1 |         24 |        250 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/dashboard/ShowIndex.vue              | Vue.js     |         89 |          0 |          4 |         93 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/dashboard/index.vue                  | Vue.js     |        169 |          0 |          9 |        178 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/simulation/SimulationCard.vue        | Vue.js     |        193 |          0 |         22 |        215 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/simulation/index.vue                 | Vue.js     |         18 |          0 |          3 |         21 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/stocknews/Predict.vue                | Vue.js     |          0 |          0 |          1 |          1 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/stocknews/StockCard.vue              | Vue.js     |        273 |          5 |         13 |        291 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/stocknews/index.vue                  | Vue.js     |         35 |          0 |          6 |         41 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/transaction/RecordCard.vue           | Vue.js     |        114 |          0 |          6 |        120 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/transaction/TransCard.vue            | Vue.js     |        265 |          0 |         10 |        275 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/transaction/index.vue                | Vue.js     |         31 |          0 |          2 |         33 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/user/PanThumb.vue                    | Vue.js     |        122 |         12 |         13 |        147 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/user/PasswordCard.vue                | Vue.js     |        127 |          0 |          8 |        135 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/user/RechargeCard.vue                | Vue.js     |         93 |          0 |          8 |        101 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/user/UserCard.vue                    | Vue.js     |        293 |          0 |          0 |        293 |
| /Users/zhangyiyao/Desktop/firstapp/src/components/user/index.vue                       | Vue.js     |         40 |          4 |          9 |         53 |
| /Users/zhangyiyao/Desktop/firstapp/src/main.js                                         | JavaScript |         23 |          3 |          5 |         31 |
| /Users/zhangyiyao/Desktop/firstapp/src/permission.js                                   | JavaScript |         20 |          2 |          4 |         26 |
| /Users/zhangyiyao/Desktop/firstapp/src/router/index.js                                 | JavaScript |        127 |         20 |         13 |        160 |
| /Users/zhangyiyao/Desktop/firstapp/src/settings.js                                     | JavaScript |          3 |          0 |          0 |          3 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/element-ui.scss                          | SCSS       |         35 |          5 |         10 |         50 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/index.scss                               | SCSS       |         46 |         86 |         30 |        162 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/mixin.scss                               | SCSS       |         24 |          0 |          4 |         28 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/sidebar.scss                             | SCSS       |         33 |         66 |          7 |        106 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/transition.scss                          | SCSS       |         35 |          4 |         10 |         49 |
| /Users/zhangyiyao/Desktop/firstapp/src/styles/variables.scss                           | SCSS       |         18 |          3 |          5 |         26 |
| /Users/zhangyiyao/Desktop/firstapp/src/utils/auth.js                                   | JavaScript |         11 |          0 |          4 |         15 |
| /Users/zhangyiyao/Desktop/firstapp/src/utils/get-page-title.js                         | JavaScript |          8 |          0 |          2 |         10 |
| /Users/zhangyiyao/Desktop/firstapp/src/utils/request.js                                | JavaScript |         32 |          8 |          6 |         46 |
| /Users/zhangyiyao/Desktop/firstapp/src/utils/validate.js                               | JavaScript |         39 |         39 |         10 |         88 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/Layout.vue                         | Vue.js     |         41 |          0 |          4 |         45 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/components/AppMain.vue             | Vue.js     |         15 |          1 |          1 |         17 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/components/Navbar.vue              | Vue.js     |        126 |          3 |         15 |        144 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/components/Sidebar/SidebarItem.vue | Vue.js     |         34 |          0 |          6 |         40 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/components/Sidebar/index.vue       | Vue.js     |         19 |          0 |          4 |         23 |
| /Users/zhangyiyao/Desktop/firstapp/src/views/layout/components/index.js                | JavaScript |          3 |          0 |          0 |          3 |
| /Users/zhangyiyao/Desktop/firstapp/test/e2e/custom-assertions/elementCount.js          | JavaScript |         18 |          8 |          2 |         28 |
| /Users/zhangyiyao/Desktop/firstapp/test/e2e/nightwatch.conf.js                         | JavaScript |         40 |          1 |          6 |         47 |
| /Users/zhangyiyao/Desktop/firstapp/test/e2e/runner.js                                  | JavaScript |         33 |          8 |          8 |         49 |
| /Users/zhangyiyao/Desktop/firstapp/test/e2e/specs/test.js                              | JavaScript |         12 |          5 |          3 |         20 |
| /Users/zhangyiyao/Desktop/firstapp/test/unit/jest.conf.js                              | JavaScript |         27 |          3 |          1 |         31 |
| /Users/zhangyiyao/Desktop/firstapp/test/unit/setup.js                                  | JavaScript |          2 |          0 |          2 |          4 |
| /Users/zhangyiyao/Desktop/firstapp/test/unit/specs/HelloWorld.spec.js                  | JavaScript |         10 |          0 |          2 |         12 |
| /Users/zhangyiyao/Desktop/firstapp/vue.config.js                                       | JavaScript |         27 |          2 |          4 |         33 |
| Total                                                                                  |            |     43,923 |        539 |        472 |     44,934 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
