Date : 2022-06-07 11:40:27
Directory : /Users/zhangyiyao/Desktop/project
Total : 220 files,  106090 codes, 587 comments, 861 blanks, all 107538 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/drag.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/edit.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/education.svg                      | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/email.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/example.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/excel.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/exit-fullscreen.svg                | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/eye-open.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/eye.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/form.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/fullscreen.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/guide.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/icon.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/international.svg                  | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/language.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/link.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/list.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/lock.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/message.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/money.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/nested.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/password.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/pdf.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/people.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/peoples.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/qq.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/search.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/shopping.svg                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/size.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/skill.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/star.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tab.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/table.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/theme.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tree-table.svg                     | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/tree.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/user.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/wechat.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/zip.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/CumulativeReturn1.vue                        | Vue.js     |        343 |         16 |          4 |        363 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/CumulativeReturn2.vue                        | Vue.js     |        387 |         16 |          2 |        405 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/GroupReturn.vue                              | Vue.js     |        279 |         16 |          4 |        299 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/KChart.vue                                   | Vue.js     |        317 |          1 |          3 |        321 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/MonthlyIC.vue                                | Vue.js     |        122 |          0 |          4 |        126 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/PredAutocorr.vue                             | Vue.js     |        200 |         16 |          8 |        224 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/PredictChart.vue                             | Vue.js     |        207 |         17 |          3 |        227 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/RiskAnalysis.vue                             | Vue.js     |         98 |         29 |          2 |        129 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/charts/ScoreIC.vue                                  | Vue.js     |        213 |         16 |          3 |        232 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/Car.vue                                  | Vue.js     |         53 |         22 |          8 |         83 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/ForgetPassword.vue                       | Vue.js     |        282 |          9 |          6 |        297 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/Login.vue                                | Vue.js     |        231 |          7 |          7 |        245 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/Register.vue                             | Vue.js     |        290 |          5 |          8 |        303 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/Research.vue                             | Vue.js     |         92 |          0 |          6 |         98 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/SvgIcon/index.vue                        | Vue.js     |         41 |          0 |          3 |         44 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/PanelGroup.vue                 | Vue.js     |        225 |          1 |         24 |        250 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/ShowIndex.vue                  | Vue.js     |         89 |          0 |          4 |         93 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/index.vue                      | Vue.js     |        169 |          0 |          9 |        178 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/simulation/SimulationCard.vue            | Vue.js     |        193 |          0 |         22 |        215 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/simulation/index.vue                     | Vue.js     |         18 |          0 |          3 |         21 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/stocknews/Predict.vue                    | Vue.js     |          0 |          0 |          1 |          1 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/stocknews/StockCard.vue                  | Vue.js     |        273 |          5 |         13 |        291 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/stocknews/index.vue                      | Vue.js     |         35 |          0 |          6 |         41 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/transaction/RecordCard.vue               | Vue.js     |        114 |          0 |          6 |        120 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/transaction/TransCard.vue                | Vue.js     |        265 |          0 |         10 |        275 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/transaction/index.vue                    | Vue.js     |         31 |          0 |          2 |         33 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/user/PanThumb.vue                        | Vue.js     |        122 |         12 |         13 |        147 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/user/PasswordCard.vue                    | Vue.js     |        127 |          0 |          8 |        135 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/user/RechargeCard.vue                    | Vue.js     |         93 |          0 |          8 |        101 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/user/UserCard.vue                        | Vue.js     |        293 |          0 |          0 |        293 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/components/user/index.vue                           | Vue.js     |         40 |          4 |          9 |         53 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/main.js                                             | JavaScript |         23 |          3 |          5 |         31 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/permission.js                                       | JavaScript |         20 |          2 |          4 |         26 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/router/index.js                                     | JavaScript |        127 |         20 |         13 |        160 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/settings.js                                         | JavaScript |          3 |          0 |          0 |          3 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/element-ui.scss                              | SCSS       |         35 |          5 |         10 |         50 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/index.scss                                   | SCSS       |         46 |         86 |         30 |        162 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/mixin.scss                                   | SCSS       |         24 |          0 |          4 |         28 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/sidebar.scss                                 | SCSS       |         33 |         66 |          7 |        106 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/transition.scss                              | SCSS       |         35 |          4 |         10 |         49 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/styles/variables.scss                               | SCSS       |         18 |          3 |          5 |         26 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/utils/auth.js                                       | JavaScript |         11 |          0 |          4 |         15 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/utils/get-page-title.js                             | JavaScript |          8 |          0 |          2 |         10 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/utils/request.js                                    | JavaScript |         32 |          8 |          6 |         46 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/utils/validate.js                                   | JavaScript |         39 |         39 |         10 |         88 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/Layout.vue                             | Vue.js     |         41 |          0 |          4 |         45 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/components/AppMain.vue                 | Vue.js     |         15 |          1 |          1 |         17 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/components/Navbar.vue                  | Vue.js     |        126 |          3 |         15 |        144 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/components/Sidebar/SidebarItem.vue     | Vue.js     |         34 |          0 |          6 |         40 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/components/Sidebar/index.vue           | Vue.js     |         19 |          0 |          4 |         23 |
| /Users/zhangyiyao/Desktop/project/firstapp/src/views/layout/components/index.js                    | JavaScript |          3 |          0 |          0 |          3 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/e2e/custom-assertions/elementCount.js              | JavaScript |         18 |          8 |          2 |         28 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/e2e/nightwatch.conf.js                             | JavaScript |         40 |          1 |          6 |         47 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/e2e/runner.js                                      | JavaScript |         33 |          8 |          8 |         49 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/e2e/specs/test.js                                  | JavaScript |         12 |          5 |          3 |         20 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/unit/jest.conf.js                                  | JavaScript |         27 |          3 |          1 |         31 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/unit/setup.js                                      | JavaScript |          2 |          0 |          2 |          4 |
| /Users/zhangyiyao/Desktop/project/firstapp/test/unit/specs/HelloWorld.spec.js                      | JavaScript |         10 |          0 |          2 |         12 |
| /Users/zhangyiyao/Desktop/project/firstapp/vue.config.js                                           | JavaScript |         27 |          2 |          4 |         33 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/details.md      | Markdown   |         91 |          0 |          6 |         97 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/diff-details.md | Markdown   |          9 |          0 |          6 |         15 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/diff.csv        | CSV        |          2 |          0 |          0 |          2 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/diff.md         | Markdown   |         12 |          0 |          7 |         19 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/results.csv     | CSV        |         84 |          0 |          0 |         84 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/results.json    | JSON       |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/.VSCodeCounter/2022-06-07_11-35-58/results.md      | Markdown   |         26 |          0 |          7 |         33 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/base.py                                    | Python     |         20 |          7 |          6 |         33 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/conn.py                                    | Python     |          9 |          0 |          2 |         11 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/dashboard.py                               | Python     |         25 |          0 |          2 |         27 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/getstock.py                                | Python     |         18 |          2 |          3 |         23 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/login.py                                   | Python     |         29 |         10 |          8 |         47 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/predict/data/000001.csv                    | CSV        |      7,642 |          0 |          1 |      7,643 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/predict/gru_predict.py                     | Python     |         12 |          3 |          4 |         19 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/predict/lstm_predict.py                    | Python     |         12 |          3 |          5 |         20 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/predict/predict.py                         | Python     |         94 |          6 |         16 |        116 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/register.py                                | Python     |         39 |         11 |          8 |         58 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/research.py                                | Python     |         16 |          0 |          3 |         19 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/simulation.py                              | Python     |         39 |          0 |          3 |         42 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/stocknews.py                               | Python     |        152 |          6 |          6 |        164 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/tempCodeRunnerFile.py                      | Python     |          1 |          0 |          0 |          1 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/test.py                                    | Python     |          0 |          0 |          1 |          1 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/transaction.py                             | Python     |        153 |          0 |          4 |        157 |
