"filename", "language", "SCSS", "JavaScript", "Vue.js", "JSON", "Markdown", "HTML", "CSS", "XML", "Python", "Excel", "CSV", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/wechat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/assets/icons/svg/zip.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/CumulativeReturn1.vue", "Vue.js", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 363
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/CumulativeReturn2.vue", "Vue.js", 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 405
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/GroupReturn.vue", "Vue.js", 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 299
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/KChart.vue", "Vue.js", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 321
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/MonthlyIC.vue", "Vue.js", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 126
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/PredAutocorr.vue", "Vue.js", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 224
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/PredictChart.vue", "Vue.js", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 227
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/RiskAnalysis.vue", "Vue.js", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 129
"/Users/zhangyiyao/Desktop/project/firstapp/src/charts/ScoreIC.vue", "Vue.js", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 232
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/Car.vue", "Vue.js", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 83
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/ForgetPassword.vue", "Vue.js", 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 298
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/Login.vue", "Vue.js", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 245
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/Register.vue", "Vue.js", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 303
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/Research.vue", "Vue.js", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/SvgIcon/index.vue", "Vue.js", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/PanelGroup.vue", "Vue.js", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 250
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/ShowIndex.vue", "Vue.js", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/dashboard/index.vue", "Vue.js", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 178
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/simulation/SimulationCard.vue", "Vue.js", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 215
"/Users/zhangyiyao/Desktop/project/firstapp/src/components/simulation/index.vue", "Vue.js", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
